,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ofav_gene,contrast,contrast_gene,name,description,contrast_id
1099,12.36460393,-8.726394092,2.612815588,-3.339843092,0.000838257,0.031640731,LOC110055394,4,4_LOC110055394,LOC110055394,uncharacterized LOC110055394, C_PE_H_C_EE_H
1039,52.20506334,-8.647471482,2.155262012,-4.012259963,6.01E-05,0.002647336,LOC110057150,4,4_LOC110057150,LOC110057150,"uncharacterized LOC110057150, transcript variant X1", C_PE_H_C_EE_H
1141,9.054514903,-8.63360755,2.870674834,-3.007518458,0.002633901,0.090400271,LOC110050942,4,4_LOC110050942,LOC110050942,"phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN-like, transcript variant X1", C_PE_H_C_EE_H
422,34.22864586,-8.574353354,2.7439579,-3.124812284,0.001779186,0.066997721,LOC110052817,1,1_LOC110052817,LOC110052817,"uncharacterized LOC110052817, transcript variant X1", C_EE_H_D_EE_H
1118,15.67566799,-8.540894489,2.727566053,-3.13132453,0.001740197,0.062848812,LOC110065901,4,4_LOC110065901,LOC110065901,"paired mesoderm homeobox protein 2-like, transcript variant X1", C_PE_H_C_EE_H
1045,19.0819601,-8.493619745,2.174539582,-3.90593936,9.39E-05,0.004064115,LOC110068987,4,4_LOC110068987,LOC110068987,uncharacterized LOC110068987, C_PE_H_C_EE_H
1040,25.04180091,-8.488843694,2.124464131,-3.995757599,6.45E-05,0.002830867,LOC110066210,4,4_LOC110066210,LOC110066210,adhesion G-protein coupled receptor D1-like, C_PE_H_C_EE_H
1114,15.14827416,-8.465416001,2.65786989,-3.185037775,0.001447351,0.052751966,LOC110059003,4,4_LOC110059003,LOC110059003,"GRAM domain-containing protein 1B-like, transcript variant X3", C_PE_H_C_EE_H
1092,13.28545131,-8.446385215,2.465712179,-3.425535748,0.000613588,0.023552004,LOC110065708,4,4_LOC110065708,LOC110065708,"pancreatic secretory granule membrane major glycoprotein GP2-like, transcript variant X1", C_PE_H_C_EE_H
1134,15.30905733,-8.425672669,2.782910639,-3.027647583,0.002464653,0.085889925,LOC110058385,4,4_LOC110058385,LOC110058385,uncharacterized LOC110058385, C_PE_H_C_EE_H
1139,13.21503967,-8.253778632,2.737005477,-3.015623718,0.002564513,0.088400597,LOC110043365,4,4_LOC110043365,LOC110043365,uncharacterized LOC110043365, C_PE_H_C_EE_H
1112,24.32974159,-8.252645131,2.590088373,-3.186240754,0.001441346,0.052677709,LOC110050883,4,4_LOC110050883,LOC110050883,DNA/RNA-binding protein KIN17-like, C_PE_H_C_EE_H
1102,19.11872887,-8.227786912,2.475261449,-3.324007214,0.000887339,0.033256378,LOC110040575,4,4_LOC110040575,LOC110040575,uncharacterized LOC110040575, C_PE_H_C_EE_H
1038,20.21424518,-8.149452535,2.030716284,-4.013092621,5.99E-05,0.002645339,LOC110059617,4,4_LOC110059617,LOC110059617,tubulin polyglutamylase ttll6-like, C_PE_H_C_EE_H
1119,11.60011973,-8.11847239,2.598551119,-3.124230395,0.001782708,0.064238127,LOC110040316,4,4_LOC110040316,LOC110040316,heme transporter HRG1-like, C_PE_H_C_EE_H
1129,20.25728085,-8.074233142,2.629618458,-3.070496071,0.002137035,0.075425417,LOC110063956,4,4_LOC110063956,LOC110063956,"sorting nexin-14-like, transcript variant X1", C_PE_H_C_EE_H
1068,27.29931005,-8.058487388,2.224820791,-3.62208382,0.000292239,0.011907631,LOC110059633,4,4_LOC110059633,LOC110059633,bifunctional purine biosynthesis protein PURH-like, C_PE_H_C_EE_H
1085,22.66543108,-8.010432229,2.307722278,-3.471142219,0.000518249,0.020234648,LOC110041753,4,4_LOC110041753,LOC110041753,"uncharacterized LOC110041753, transcript variant X1", C_PE_H_C_EE_H
1031,46.01889966,-7.960130814,1.926967984,-4.13090974,3.61E-05,0.001626601,LOC110059166,4,4_LOC110059166,LOC110059166,"protein capicua homolog, transcript variant X2", C_PE_H_C_EE_H
1096,46.97207778,-7.955105462,2.351815723,-3.38253775,0.000718194,0.027303402,LOC110062713,4,4_LOC110062713,LOC110062713,uncharacterized LOC110062713, C_PE_H_C_EE_H
1059,19.91414968,-7.927829487,2.136707533,-3.710301652,0.000207012,0.008634212,LOC110057749,4,4_LOC110057749,LOC110057749,"tetratricopeptide repeat protein 28-like, transcript variant X2", C_PE_H_C_EE_H
1034,21.6396313,-7.88975807,1.920414618,-4.108361807,3.98E-05,0.001779899,LOC110061129,4,4_LOC110061129,LOC110061129,"substance-P receptor-like, transcript variant X1", C_PE_H_C_EE_H
1113,33.55449138,-7.663231882,2.405200221,-3.186109754,0.001441999,0.052677709,LOC110043844,4,4_LOC110043844,LOC110043844,uncharacterized LOC110043844, C_PE_H_C_EE_H
1042,34.22864586,-7.638883926,1.928284991,-3.96149115,7.45E-05,0.00325168,LOC110052817,4,4_LOC110052817,LOC110052817,"uncharacterized LOC110052817, transcript variant X1", C_PE_H_C_EE_H
1115,33.33112642,-7.635550607,2.421788329,-3.152856307,0.001616814,0.058793563,LOC110060120,4,4_LOC110060120,LOC110060120,"uncharacterized LOC110060120, transcript variant X2", C_PE_H_C_EE_H
1055,20.05336378,-7.501895231,1.998833941,-3.753135805,0.000174636,0.007361124,LOC110053018,4,4_LOC110053018,LOC110053018,methyltransferase-like protein 9, C_PE_H_C_EE_H
1144,23.0740861,-7.49931154,2.514540778,-2.982378177,0.002860185,0.097534747,LOC110049764,4,4_LOC110049764,LOC110049764,"neurogenic locus notch homolog protein 1-like, transcript variant X2", C_PE_H_C_EE_H
1090,21.92317229,-7.431307359,2.165604505,-3.431516392,0.000600217,0.023150597,LOC110042398,4,4_LOC110042398,LOC110042398,uncharacterized LOC110042398, C_PE_H_C_EE_H
1094,14.47804357,-7.36310364,2.171721814,-3.390445126,0.000697792,0.026655328,LOC110057549,4,4_LOC110057549,LOC110057549,uncharacterized LOC110057549, C_PE_H_C_EE_H
1097,29.40212755,-7.345611685,2.177818257,-3.372922263,0.000743749,0.028207453,LOC110044290,4,4_LOC110044290,LOC110044290,uncharacterized LOC110044290, C_PE_H_C_EE_H
1083,18.20710671,-7.265892035,2.083136232,-3.487958168,0.000486724,0.019097616,LOC110042711,4,4_LOC110042711,LOC110042711,acid-sensing ion channel 1C-like, C_PE_H_C_EE_H
1093,18.40629213,-7.250071082,2.119130753,-3.421247637,0.000623345,0.023868874,LOC110069638,4,4_LOC110069638,LOC110069638,"cAMP-regulated phosphoprotein 21-like, transcript variant X4", C_PE_H_C_EE_H
1087,34.85763754,-7.175627827,2.082764078,-3.445242743,0.000570547,0.022167625,LOC110056708,4,4_LOC110056708,LOC110056708,gamma-aminobutyric acid receptor subunit beta-1-like, C_PE_H_C_EE_H
1026,45.99404528,-7.143017964,1.699661264,-4.202612672,2.64E-05,0.001204848,LOC110055945,4,4_LOC110055945,LOC110055945,orexin receptor type 2-like, C_PE_H_C_EE_H
1116,25.22279972,-7.013355965,2.230615991,-3.144134174,0.00166579,0.060436246,LOC110062256,4,4_LOC110062256,LOC110062256,uncharacterized LOC110062256, C_PE_H_C_EE_H
1107,18.06520684,-6.949252238,2.142453249,-3.243595743,0.001180311,0.043721043,LOC110057776,4,4_LOC110057776,LOC110057776,"uncharacterized LOC110057776, transcript variant X4", C_PE_H_C_EE_H
667,19.66751696,-6.875885878,1.450365838,-4.740794148,2.13E-06,0.003075373,LOC110062461,3,3_LOC110062461,LOC110062461,ADP-ribosylation factor 1, C_PE_D_D_EE_D
1053,83.37198403,-6.863478447,1.817243027,-3.776863274,0.000158816,0.006729981,LOC110059581,4,4_LOC110059581,LOC110059581,muscle LIM protein 1-like, C_PE_H_C_EE_H
1106,36.83017439,-6.836413781,2.093716455,-3.265205164,0.001093848,0.040612947,LOC110067294,4,4_LOC110067294,LOC110067294,"receptor-type tyrosine-protein phosphatase F-like, transcript variant X3", C_PE_H_C_EE_H
1062,22.32741024,-6.823075164,1.853785103,-3.680618187,0.000232669,0.009628505,LOC110055325,4,4_LOC110055325,LOC110055325,transcription factor 24-like, C_PE_H_C_EE_H
1081,31.02988624,-6.81171321,1.948182836,-3.496444524,0.000471503,0.018592175,LOC110065144,4,4_LOC110065144,LOC110065144,ribonuclease H2 subunit A-like, C_PE_H_C_EE_H
1135,19.49710115,-6.562002108,2.168069837,-3.026656243,0.00247275,0.085948502,LOC110068594,4,4_LOC110068594,LOC110068594,putative beta-lactamase-like 1, C_PE_H_C_EE_H
1082,23.35246214,-6.552241235,1.874396325,-3.49565412,0.000472901,0.018601173,LOC110057230,4,4_LOC110057230,LOC110057230,"uncharacterized LOC110057230, transcript variant X2", C_PE_H_C_EE_H
1120,22.46029526,-6.543435465,2.099435869,-3.116758916,0.00182851,0.065739498,LOC110054934,4,4_LOC110054934,LOC110054934,uncharacterized LOC110054934, C_PE_H_C_EE_H
1109,11.0259474,-6.484723326,2.018718448,-3.212297056,0.001316781,0.048549824,LOC110041158,4,4_LOC110041158,LOC110041158,uncharacterized LOC110041158, C_PE_H_C_EE_H
1131,29.53837034,-6.44424372,2.103227993,-3.063977725,0.002184152,0.076618885,LOC110051265,4,4_LOC110051265,LOC110051265,"uncharacterized LOC110051265, transcript variant X1", C_PE_H_C_EE_H
1063,45.07020309,-6.405351964,1.741998022,-3.677014488,0.00023598,0.009714903,LOC110043343,4,4_LOC110043343,LOC110043343,dentin sialophosphoprotein-like, C_PE_H_C_EE_H
1064,31.12354724,-6.384727741,1.736096108,-3.677634961,0.000235407,0.009714903,LOC110049219,4,4_LOC110049219,LOC110049219,protein fem-1 homolog B-like, C_PE_H_C_EE_H
1126,55.93999528,-6.372419458,2.066980499,-3.082960609,0.002049523,0.072698587,LOC110039846,4,4_LOC110039846,LOC110039846,"uncharacterized LOC110039846, transcript variant X2", C_PE_H_C_EE_H
1123,36.44002469,-6.309094778,2.035671961,-3.09926889,0.001939989,0.069277213,LOC110065836,4,4_LOC110065836,LOC110065836,leucine-rich repeat and coiled-coil domain-containing protein 1-like, C_PE_H_C_EE_H
1067,37.12655209,-6.281170974,1.723788354,-3.643817966,0.000268623,0.010973509,LOC110058955,4,4_LOC110058955,LOC110058955,uncharacterized LOC110058955, C_PE_H_C_EE_H
1101,29.09005672,-6.212177593,1.867262566,-3.326890234,0.00087821,0.03299203,LOC110040354,4,4_LOC110040354,LOC110040354,"zinc finger protein 709-like, transcript variant X1", C_PE_H_C_EE_H
1143,24.70156802,-6.167907022,2.064412608,-2.987729778,0.002810579,0.096049282,LOC110046796,4,4_LOC110046796,LOC110046796,ATP-dependent RNA helicase ded1-like, C_PE_H_C_EE_H
1095,30.5934486,-6.051718609,1.785780912,-3.388835981,0.0007019,0.026747938,LOC110065621,4,4_LOC110065621,LOC110065621,uncharacterized LOC110065621, C_PE_H_C_EE_H
1032,65.55953191,-6.031560635,1.460401911,-4.130068983,3.63E-05,0.001627949,LOC110065785,4,4_LOC110065785,LOC110065785,neuromedin-U receptor 1-like, C_PE_H_C_EE_H
676,21.14674158,-5.967891972,1.480853857,-4.030034392,5.58E-05,0.044311015,LOC110042644,3,3_LOC110042644,LOC110042644,TNF receptor-associated factor 4-like, C_PE_D_D_EE_D
1070,74.14032397,-5.772497297,1.600078161,-3.607634576,0.000309001,0.012526376,LOC110049138,4,4_LOC110049138,LOC110049138,"protein Wnt-1-like, transcript variant X4", C_PE_H_C_EE_H
1132,27.47562368,-5.737208393,1.892419678,-3.031678681,0.002431979,0.085124634,LOC110039763,4,4_LOC110039763,LOC110039763,short-chain dehydrogenase/reductase family 9C member 7-like, C_PE_H_C_EE_H
1127,28.48223415,-5.705991128,1.852421029,-3.080288465,0.002068002,0.073190689,LOC110066648,4,4_LOC110066648,LOC110066648,collagen alpha-2(I) chain-like, C_PE_H_C_EE_H
1091,98.21867053,-5.458754409,1.591438676,-3.430075247,0.000603414,0.023217555,LOC110061085,4,4_LOC110061085,LOC110061085,titin homolog, C_PE_H_C_EE_H
1073,45.28964934,-5.082172032,1.427290366,-3.56071347,0.000369848,0.014879145,LOC110067343,4,4_LOC110067343,LOC110067343,crooked neck-like protein 1, C_PE_H_C_EE_H
1140,39.72533925,-4.786348832,1.590698692,-3.00896006,0.002621436,0.090167176,LOC110046428,4,4_LOC110046428,LOC110046428,rab-like protein 3, C_PE_H_C_EE_H
1048,71.08359204,-4.744006545,1.21954662,-3.889975558,0.000100254,0.004305788,LOC110061427,4,4_LOC110061427,LOC110061427,glucose-fructose oxidoreductase domain-containing protein 1-like, C_PE_H_C_EE_H
1142,47.37980493,-4.471499519,1.490011919,-3.000982383,0.002691101,0.092164421,LOC110040372,4,4_LOC110040372,LOC110040372,Golgi-associated PDZ and coiled-coil motif-containing protein-like, C_PE_H_C_EE_H
1121,89.44432238,-4.27210102,1.371322543,-3.115314513,0.001837489,0.065913168,LOC110053805,4,4_LOC110053805,LOC110053805,"dynein heavy chain 6, axonemal-like", C_PE_H_C_EE_H
1122,155.8621773,-3.088084137,0.995151677,-3.10312911,0.001914861,0.068533904,LOC110067225,4,4_LOC110067225,LOC110067225,"coadhesin-like, transcript variant X1", C_PE_H_C_EE_H
433,5147.211126,-1.529322934,0.510031488,-2.998487287,0.002713235,0.099735988,LOC110063756,1,1_LOC110063756,LOC110063756,"glyceraldehyde-3-phosphate dehydrogenase, cytosolic-like", C_EE_H_D_EE_H
678,2351.386718,0.99164131,0.258846139,3.83100677,0.00012762,0.092182242,LOC110055441,3,3_LOC110055441,LOC110055441,uncharacterized LOC110055441, C_PE_D_D_EE_D
1136,3018.294719,1.027418885,0.339517062,3.026118567,0.002477151,0.085948502,LOC110039715,4,4_LOC110039715,LOC110039715,sodium/glucose cotransporter 5-like, C_PE_H_C_EE_H
420,3018.294719,1.577823831,0.498474756,3.165303383,0.001549213,0.05861559,LOC110039715,1,1_LOC110039715,LOC110039715,sodium/glucose cotransporter 5-like, C_EE_H_D_EE_H
673,431.5585581,3.899334851,0.951563403,4.097819271,4.17E-05,0.038985362,LOC110062310,3,3_LOC110062310,LOC110062310,uncharacterized LOC110062310, C_PE_D_D_EE_D
669,423.8781687,4.249159814,0.956352856,4.443087913,8.87E-06,0.010839729,LOC110056792,3,3_LOC110056792,LOC110056792,"zinc metalloproteinase nas-15-like, transcript variant X3", C_PE_D_D_EE_D
427,94.39665424,5.058320188,1.652309233,3.061364112,0.00220331,0.08199718,LOC110052694,1,1_LOC110052694,LOC110052694,uncharacterized LOC110052694, C_EE_H_D_EE_H
674,10.6587925,5.549765335,1.360667031,4.078709344,4.53E-05,0.039980354,LOC110052662,3,3_LOC110052662,LOC110052662,uncharacterized skeletal organic matrix protein 5-like, C_PE_D_D_EE_D
1133,23.76308933,6.054692958,1.998231386,3.030025953,0.002445327,0.085403726,LOC110054902,4,4_LOC110054902,LOC110054902,transcription factor MafK-like, C_PE_H_C_EE_H
670,15.86402464,6.130369669,1.388593844,4.414804009,1.01E-05,0.011475748,LOC110062987,3,3_LOC110062987,LOC110062987,plasma kallikrein-like, C_PE_D_D_EE_D
677,18.49709098,6.153914687,1.597228411,3.852870789,0.000116741,0.088339584,LOC110062643,3,3_LOC110062643,LOC110062643,uncharacterized LOC110062643, C_PE_D_D_EE_D
654,93.46235543,6.430195103,1.975322632,3.255263215,0.001132873,0.081459221,LOC110062556,2,2_LOC110062556,LOC110062556,"transmembrane cell adhesion receptor mua-3-like, transcript variant X1", D_EE_D_D_EE_H
668,39.07078466,6.570816578,1.418063957,4.633653189,3.59E-06,0.004757616,LOC110069208,3,3_LOC110069208,LOC110069208,CUB domain-containing protein-like, C_PE_D_D_EE_D
416,71.58875337,7.058977558,2.20279253,3.204558514,0.001352698,0.05167241,LOC110065972,1,1_LOC110065972,LOC110065972,WD repeat-containing protein 13-like, C_EE_H_D_EE_H
1128,29.64734634,7.257843021,2.364123546,3.06999312,0.002140637,0.075425417,LOC110050242,4,4_LOC110050242,LOC110050242,uncharacterized LOC110050242, C_PE_H_C_EE_H
672,716.128401,7.327936483,1.753264741,4.179594965,2.92E-05,0.029003931,LOC110042039,3,3_LOC110042039,LOC110042039,"uncharacterized LOC110042039, transcript variant X2", C_PE_D_D_EE_D
1104,25.20733143,7.354174994,2.243008609,3.278710106,0.001042827,0.038900385,LOC110062476,4,4_LOC110062476,LOC110062476,uncharacterized LOC110062476, C_PE_H_C_EE_H
675,11.70710598,7.527784195,1.853191807,4.062064255,4.86E-05,0.040681532,LOC110062618,3,3_LOC110062618,LOC110062618,"b(0,+)-type amino acid transporter 1-like", C_PE_D_D_EE_D
1051,21.64616643,7.745525503,2.029880902,3.815753671,0.000135768,0.005784149,LOC110054839,4,4_LOC110054839,LOC110054839,"uncharacterized LOC110054839, transcript variant X1", C_PE_H_C_EE_H
1124,11.23475365,7.802627833,2.518962963,3.0975556,0.001951238,0.069522694,LOC110064015,4,4_LOC110064015,LOC110064015,zinc metalloproteinase nas-4-like, C_PE_H_C_EE_H
1078,31.77621547,8.166567786,2.328400475,3.507372496,0.000452555,0.017978886,LOC110060844,4,4_LOC110060844,LOC110060844,"muscle, skeletal receptor tyrosine-protein kinase-like, transcript variant X2", C_PE_H_C_EE_H
1089,15.35128982,8.208524985,2.386927405,3.438950413,0.000583974,0.022578914,LOC110066194,4,4_LOC110066194,LOC110066194,"uncharacterized LOC110066194, transcript variant X6", C_PE_H_C_EE_H
1049,18.43112749,8.606011737,2.23571161,3.84933893,0.000118437,0.005073,LOC110067625,4,4_LOC110067625,LOC110067625,eukaryotic translation initiation factor 2 subunit 1-like, C_PE_H_C_EE_H
1125,24.15692469,8.697831319,2.820822086,3.083438463,0.002046234,0.072698587,LOC110057963,4,4_LOC110057963,LOC110057963,ETS-related transcription factor Elf-4-like, C_PE_H_C_EE_H
1103,19.64887787,8.770233695,2.663500545,3.2927471,0.000992137,0.037096576,LOC110045769,4,4_LOC110045769,LOC110045769,uncharacterized LOC110045769, C_PE_H_C_EE_H
1020,47.46009459,9.052261468,2.065467111,4.38267035,1.17E-05,0.000544724,LOC110063905,4,4_LOC110063905,LOC110063905,WD repeat-containing protein on Y chromosome-like, C_PE_H_C_EE_H
1108,13.22114526,9.282540476,2.873837523,3.230015755,0.001237834,0.045745162,LOC110044960,4,4_LOC110044960,LOC110044960,DEP domain-containing protein 7-like, C_PE_H_C_EE_H
621,256.1170345,9.328794723,2.175125989,4.288852585,1.80E-05,0.001518085,LOC110066923,2,2_LOC110066923,LOC110066923,RNA-binding protein cabeza-like, D_EE_D_D_EE_H
1137,7.600587272,9.452978391,3.127409549,3.022622475,0.002505947,0.086758163,LOC110044974,4,4_LOC110044974,LOC110044974,"uncharacterized LOC110044974, transcript variant X1", C_PE_H_C_EE_H
419,69.3404012,9.4770532,2.992526919,3.166906583,0.001540698,0.058432535,LOC110060023,1,1_LOC110060023,LOC110060023,"uncharacterized LOC110060023, transcript variant X1", C_EE_H_D_EE_H
281,256.1170345,9.818578979,2.36541393,4.150892516,3.31E-05,0.001872883,LOC110066923,1,1_LOC110066923,LOC110066923,RNA-binding protein cabeza-like, C_EE_H_D_EE_H
671,4.353835066,13.18110706,3.133142733,4.206992205,2.59E-05,0.027416431,LOC110065008,3,3_LOC110065008,LOC110065008,"D(3) dopamine receptor-like, transcript variant X1", C_PE_D_D_EE_D
431,9.552927323,13.48531848,4.475007615,3.013473861,0.002582753,0.095226279,LOC110051255,1,1_LOC110051255,LOC110051255,"uncharacterized LOC110051255, transcript variant X2", C_EE_H_D_EE_H
417,15.08202911,13.48773441,4.213216273,3.201291729,0.001368129,0.052136557,LOC110064787,1,1_LOC110064787,LOC110064787,hepatocyte nuclear factor 1-beta-A-like, C_EE_H_D_EE_H
363,24.32974159,13.79148517,3.872508322,3.561382966,0.000368907,0.01614957,LOC110050883,1,1_LOC110050883,LOC110050883,DNA/RNA-binding protein KIN17-like, C_EE_H_D_EE_H
334,13.28545131,13.80986674,3.693742551,3.738719347,0.00018496,0.008800001,LOC110065708,1,1_LOC110065708,LOC110065708,"pancreatic secretory granule membrane major glycoprotein GP2-like, transcript variant X1", C_EE_H_D_EE_H
356,14.16437647,13.94111028,3.848738815,3.622254184,0.000292047,0.013036286,LOC110067391,1,1_LOC110067391,LOC110067391,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A-like", C_EE_H_D_EE_H
388,26.03542902,13.95333741,4.091984601,3.409919335,0.000649821,0.026614188,LOC110062309,1,1_LOC110062309,LOC110062309,uncharacterized LOC110062309, C_EE_H_D_EE_H
393,15.30905733,14.03476926,4.151044146,3.381021441,0.000722169,0.029186346,LOC110058385,1,1_LOC110058385,LOC110058385,uncharacterized LOC110058385, C_EE_H_D_EE_H
402,13.42181571,14.5861142,4.414309099,3.30428021,0.000952206,0.037562394,LOC110066730,1,1_LOC110066730,LOC110066730,probable proline dehydrogenase 2, C_EE_H_D_EE_H
379,8.540799667,15.43136865,4.429164502,3.484036018,0.000493913,0.02070916,LOC110056841,1,1_LOC110056841,LOC110056841,uncharacterized LOC110056841, C_EE_H_D_EE_H
615,17.15070632,15.58712302,3.553620682,4.386265282,1.15E-05,0.001006839,LOC110059708,2,2_LOC110059708,LOC110059708,"WD repeat-containing protein 59-like, transcript variant X1", D_EE_D_D_EE_H
1060,9.238662503,15.59964419,4.217978155,3.698370075,0.000216988,0.009026603,LOC110064862,4,4_LOC110064862,LOC110064862,"uncharacterized LOC110064862, transcript variant X1", C_PE_H_C_EE_H
1033,11.62019822,15.61988809,3.802118765,4.108206255,3.99E-05,0.001779899,LOC110055228,4,4_LOC110055228,LOC110055228,"FYVE, RhoGEF and PH domain-containing protein 2-like", C_PE_H_C_EE_H
1052,4.826460359,15.95691238,4.204474915,3.795221212,0.000147512,0.006267677,LOC110050660,4,4_LOC110050660,LOC110050660,"acyl-coenzyme A synthetase ACSM4, mitochondrial-like", C_PE_H_C_EE_H
408,8.777416147,16.05795532,4.903493563,3.274798898,0.001057372,0.04118309,LOC110042472,1,1_LOC110042472,LOC110042472,uncharacterized LOC110042472, C_EE_H_D_EE_H
950,12.93200831,16.12706102,2.916390835,5.529801022,3.21E-08,1.87E-06,LOC110062882,4,4_LOC110062882,LOC110062882,uncharacterized WD repeat-containing protein alr3466-like, C_PE_H_C_EE_H
370,13.23355501,16.15589607,4.57460028,3.531651966,0.000412972,0.017736611,LOC110059938,1,1_LOC110059938,LOC110059938,uncharacterized LOC110059938, C_EE_H_D_EE_H
280,15.11030033,16.17768486,3.895197945,4.153238188,3.28E-05,0.0018604,LOC110064761,1,1_LOC110064761,LOC110064761,"G patch domain and KOW motifs-containing protein-like, transcript variant X2", C_EE_H_D_EE_H
371,10.96011573,16.37663369,4.638689381,3.530444128,0.000414863,0.017769763,LOC110046642,1,1_LOC110046642,LOC110046642,"metalloproteinase inhibitor 2-like, transcript variant X1", C_EE_H_D_EE_H
650,2.921313349,16.38951511,4.832559997,3.3914768,0.00069517,0.050907623,LOC110067369,2,2_LOC110067369,LOC110067369,N-acetylated-alpha-linked acidic dipeptidase 2-like, D_EE_D_D_EE_H
637,8.489802959,16.39614313,4.239781206,3.867214446,0.000110086,0.008575346,LOC110043027,2,2_LOC110043027,LOC110043027,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like, transcript variant X2", D_EE_D_D_EE_H
593,11.13397527,16.45792729,3.375425265,4.875808527,1.08E-06,0.000107625,LOC110057480,2,2_LOC110057480,LOC110057480,uncharacterized LOC110057480, D_EE_D_D_EE_H
1013,8.045414352,16.49433535,3.571981991,4.61769835,3.88E-06,0.00018406,LOC110056436,4,4_LOC110056436,LOC110056436,neuromedin-K receptor-like, C_PE_H_C_EE_H
906,10.18146535,16.51276731,2.764049147,5.974122178,2.31E-09,1.61E-07,LOC110049938,4,4_LOC110049938,LOC110049938,polypeptide N-acetylgalactosaminyltransferase 1-like, C_PE_H_C_EE_H
353,13.36534141,16.5161566,4.519273146,3.654604639,0.000257579,0.011650604,LOC110039728,1,1_LOC110039728,LOC110039728,protein DD3-3-like, C_EE_H_D_EE_H
631,10.10645099,16.60373254,4.130835488,4.019461095,5.83E-05,0.004681538,LOC110067349,2,2_LOC110067349,LOC110067349,"uncharacterized LOC110067349, transcript variant X1", D_EE_D_D_EE_H
376,11.80255635,16.61794772,4.749524966,3.498865222,0.000467243,0.019747217,LOC110042185,1,1_LOC110042185,LOC110042185,uncharacterized LOC110042185, C_EE_H_D_EE_H
340,8.409779626,16.61795894,4.49876878,3.693890429,0.000220849,0.010322092,LOC110063979,1,1_LOC110063979,LOC110063979,somatostatin receptor type 5-like, C_EE_H_D_EE_H
257,12.53832212,16.62306324,3.901308901,4.260893885,2.04E-05,0.001259807,LOC110065909,1,1_LOC110065909,LOC110065909,"diencephalon/mesencephalon homeobox protein 1-B-like, transcript variant X1", C_EE_H_D_EE_H
333,17.17787919,16.85191339,4.493901132,3.749951968,0.000176868,0.00844029,LOC110069424,1,1_LOC110069424,LOC110069424,AMMECR1-like protein, C_EE_H_D_EE_H
1025,6.72767411,16.96003679,3.998371422,4.241736196,2.22E-05,0.001015729,LOC110067434,4,4_LOC110067434,LOC110067434,adenosine receptor A2a-like, C_PE_H_C_EE_H
364,9.60074948,17.1699852,4.831383889,3.553844115,0.000379644,0.016573971,LOC110045559,1,1_LOC110045559,LOC110045559,uncharacterized LOC110045559, C_EE_H_D_EE_H
628,10.98662821,17.24937543,4.191298908,4.115520226,3.86E-05,0.003148106,LOC110064594,2,2_LOC110064594,LOC110064594,"uncharacterized LOC110064594, transcript variant X1", D_EE_D_D_EE_H
644,7.104425272,17.39648108,4.845288441,3.59039122,0.000330182,0.02486693,LOC110049075,2,2_LOC110049075,LOC110049075,probable alpha-ketoglutarate-dependent hypophosphite dioxygenase, D_EE_D_D_EE_H
278,15.3558239,17.43613666,4.187124387,4.164227056,3.12E-05,0.001785789,LOC110065290,1,1_LOC110065290,LOC110065290,octopamine receptor-like, C_EE_H_D_EE_H
607,8.698248359,17.47532517,3.826422799,4.567013655,4.95E-06,0.000451817,LOC110047176,2,2_LOC110047176,LOC110047176,uncharacterized LOC110047176, D_EE_D_D_EE_H
625,12.94699175,17.52907541,4.229970722,4.144018143,3.41E-05,0.002824565,LOC110044614,2,2_LOC110044614,LOC110044614,"E3 ubiquitin-protein ligase MIB2-like, transcript variant X4", D_EE_D_D_EE_H
285,25.59595167,17.65069543,4.278279286,4.125652919,3.70E-05,0.002061283,LOC110050932,1,1_LOC110050932,LOC110050932,"gelsolin-like protein 2, transcript variant X2", C_EE_H_D_EE_H
403,14.29591687,17.72096254,5.36321715,3.304166519,0.000952592,0.037562394,LOC110055348,1,1_LOC110055348,LOC110055348,"golgin subfamily A member 6-like protein 6, transcript variant X2", C_EE_H_D_EE_H
354,6.708704036,17.73535395,4.867915427,3.643315956,0.000269148,0.012082013,LOC110043216,1,1_LOC110043216,LOC110043216,"calcium-binding protein P-like, transcript variant X2", C_EE_H_D_EE_H
237,15.53862406,17.76313856,4.033002036,4.40444572,1.06E-05,0.000711103,LOC110066055,1,1_LOC110066055,LOC110066055,tumor necrosis factor receptor superfamily member 1A-like, C_EE_H_D_EE_H
352,19.81314115,17.77114396,4.863388107,3.654066582,0.000258119,0.011650604,LOC110056301,1,1_LOC110056301,LOC110056301,UNC93-like protein MFSD11, C_EE_H_D_EE_H
329,14.41695048,17.80048921,4.708820596,3.780243662,0.000156675,0.007567543,LOC110048955,1,1_LOC110048955,LOC110048955,trace amine-associated receptor 8b-like, C_EE_H_D_EE_H
635,27.5389078,17.8081275,4.529576854,3.931521216,8.44E-05,0.006640396,LOC110043600,2,2_LOC110043600,LOC110043600,uncharacterized LOC110043600, D_EE_D_D_EE_H
305,19.09743479,17.86048091,4.483065195,3.983988664,6.78E-05,0.003532037,LOC110065512,1,1_LOC110065512,LOC110065512,lipase member K-like, C_EE_H_D_EE_H
